kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_usaha,jumlah_umkm,satuan,tahun
32,JAWA BARAT,3207,KABUPATEN CIAMIS,MINUMAN,9.0,UNIT,2020
32,JAWA BARAT,3207,KABUPATEN CIAMIS,OBAT-OBATAN,0.0,UNIT,2020
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,AGRIBISNIS,1.0,UNIT,2020
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,AKSESORIS,0.0,UNIT,2020
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BATIK,0.0,UNIT,2020
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BORDIR,0.0,UNIT,2020
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,CRAFT,3.0,UNIT,2020
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DEKORASI,,UNIT,2020
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MEBEL,,UNIT,2020
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,FASHION,2.0,UNIT,2020
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,INDUSTRI,0.0,UNIT,2020
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,JASA,0.0,UNIT,2020
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KONVEKSI,2.0,UNIT,2020
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KULINER,82.0,UNIT,2020
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MAKANAN,63.0,UNIT,2020
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MINUMAN,15.0,UNIT,2020
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,OBAT-OBATAN,0.0,UNIT,2020
32,JAWA BARAT,3209,KABUPATEN CIREBON,AGRIBISNIS,14.0,UNIT,2020
32,JAWA BARAT,3209,KABUPATEN CIREBON,AKSESORIS,1.0,UNIT,2020
32,JAWA BARAT,3209,KABUPATEN CIREBON,BATIK,0.0,UNIT,2020
32,JAWA BARAT,3209,KABUPATEN CIREBON,BORDIR,0.0,UNIT,2020
32,JAWA BARAT,3209,KABUPATEN CIREBON,CRAFT,23.0,UNIT,2020
32,JAWA BARAT,3209,KABUPATEN CIREBON,DEKORASI,,UNIT,2020
32,JAWA BARAT,3209,KABUPATEN CIREBON,MEBEL,1.0,UNIT,2020
32,JAWA BARAT,3209,KABUPATEN CIREBON,FASHION,23.0,UNIT,2020
32,JAWA BARAT,3209,KABUPATEN CIREBON,INDUSTRI,9.0,UNIT,2020
32,JAWA BARAT,3209,KABUPATEN CIREBON,JASA,3.0,UNIT,2020
32,JAWA BARAT,3209,KABUPATEN CIREBON,KONVEKSI,5.0,UNIT,2020
32,JAWA BARAT,3209,KABUPATEN CIREBON,KULINER,49.0,UNIT,2020
32,JAWA BARAT,3209,KABUPATEN CIREBON,MAKANAN,116.0,UNIT,2020
32,JAWA BARAT,3209,KABUPATEN CIREBON,MINUMAN,11.0,UNIT,2020
32,JAWA BARAT,3209,KABUPATEN CIREBON,OBAT-OBATAN,1.0,UNIT,2020
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,AGRIBISNIS,10.0,UNIT,2020
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,AKSESORIS,0.0,UNIT,2020
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BATIK,0.0,UNIT,2020
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BORDIR,0.0,UNIT,2020
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,CRAFT,25.0,UNIT,2020
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DEKORASI,,UNIT,2020
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MEBEL,,UNIT,2020
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,FASHION,17.0,UNIT,2020
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,INDUSTRI,13.0,UNIT,2020
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,JASA,3.0,UNIT,2020
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KONVEKSI,5.0,UNIT,2020
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KULINER,75.0,UNIT,2020
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MAKANAN,95.0,UNIT,2020
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MINUMAN,10.0,UNIT,2020
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,OBAT-OBATAN,0.0,UNIT,2020
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,AGRIBISNIS,3.0,UNIT,2020
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,AKSESORIS,0.0,UNIT,2020
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BATIK,1.0,UNIT,2020
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BORDIR,0.0,UNIT,2020
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,CRAFT,27.0,UNIT,2020
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DEKORASI,,UNIT,2020
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MEBEL,,UNIT,2020
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,FASHION,27.0,UNIT,2020
