id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_usaha,jumlah_umkm,satuan,tahun
143,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,FASHION,17.0,UNIT,2020
144,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,INDUSTRI,13.0,UNIT,2020
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,JASA,3.0,UNIT,2020
146,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KONVEKSI,5.0,UNIT,2020
147,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KULINER,75.0,UNIT,2020
148,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MAKANAN,95.0,UNIT,2020
149,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MINUMAN,10.0,UNIT,2020
150,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,OBAT-OBATAN,0.0,UNIT,2020
151,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,AGRIBISNIS,3.0,UNIT,2020
152,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,AKSESORIS,0.0,UNIT,2020
153,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BATIK,1.0,UNIT,2020
154,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BORDIR,0.0,UNIT,2020
155,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,CRAFT,27.0,UNIT,2020
156,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DEKORASI,,UNIT,2020
157,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MEBEL,,UNIT,2020
158,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,FASHION,27.0,UNIT,2020
159,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,INDUSTRI,3.0,UNIT,2020
160,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,JASA,2.0,UNIT,2020
161,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KONVEKSI,2.0,UNIT,2020
162,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KULINER,96.0,UNIT,2020
163,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MAKANAN,54.0,UNIT,2020
164,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MINUMAN,2.0,UNIT,2020
165,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,OBAT-OBATAN,0.0,UNIT,2020
166,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,AGRIBISNIS,8.0,UNIT,2020
167,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,AKSESORIS,0.0,UNIT,2020
168,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BATIK,0.0,UNIT,2020
169,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BORDIR,0.0,UNIT,2020
170,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,CRAFT,13.0,UNIT,2020
171,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DEKORASI,,UNIT,2020
172,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MEBEL,,UNIT,2020
173,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,FASHION,2.0,UNIT,2020
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,INDUSTRI,3.0,UNIT,2020
175,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,JASA,15.0,UNIT,2020
176,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KONVEKSI,4.0,UNIT,2020
177,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KULINER,44.0,UNIT,2020
178,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MAKANAN,53.0,UNIT,2020
179,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MINUMAN,10.0,UNIT,2020
180,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,OBAT-OBATAN,0.0,UNIT,2020
181,32,JAWA BARAT,3213,KABUPATEN SUBANG,AGRIBISNIS,9.0,UNIT,2020
182,32,JAWA BARAT,3213,KABUPATEN SUBANG,AKSESORIS,0.0,UNIT,2020
183,32,JAWA BARAT,3213,KABUPATEN SUBANG,BATIK,1.0,UNIT,2020
184,32,JAWA BARAT,3213,KABUPATEN SUBANG,BORDIR,0.0,UNIT,2020
185,32,JAWA BARAT,3213,KABUPATEN SUBANG,CRAFT,13.0,UNIT,2020
