kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_usaha,jumlah_umkm,satuan,tahun
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,CRAFT,16866.0,UNIT,2017
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,FASHION,16461.0,UNIT,2017
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KONVEKSI,10052.0,UNIT,2017
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KULINER,72592.0,UNIT,2017
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MAKANAN,53095.0,UNIT,2017
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MINUMAN,9850.0,UNIT,2017
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,JASA/LAINNYA,22938.0,UNIT,2017
32,JAWA BARAT,3213,KABUPATEN SUBANG,AKSESORIS,420.0,UNIT,2017
32,JAWA BARAT,3213,KABUPATEN SUBANG,BATIK,420.0,UNIT,2017
32,JAWA BARAT,3213,KABUPATEN SUBANG,BORDIR,60.0,UNIT,2017
32,JAWA BARAT,3213,KABUPATEN SUBANG,CRAFT,14989.0,UNIT,2017
32,JAWA BARAT,3213,KABUPATEN SUBANG,FASHION,14629.0,UNIT,2017
32,JAWA BARAT,3213,KABUPATEN SUBANG,KONVEKSI,8933.0,UNIT,2017
32,JAWA BARAT,3213,KABUPATEN SUBANG,KULINER,64511.0,UNIT,2017
32,JAWA BARAT,3213,KABUPATEN SUBANG,MAKANAN,47184.0,UNIT,2017
32,JAWA BARAT,3213,KABUPATEN SUBANG,MINUMAN,8753.0,UNIT,2017
32,JAWA BARAT,3213,KABUPATEN SUBANG,JASA/LAINNYA,20384.0,UNIT,2017
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,AKSESORIS,216.0,UNIT,2017
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BATIK,216.0,UNIT,2017
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BORDIR,31.0,UNIT,2017
